epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.117,0.45844,0.9751,1.02277,0.98842,0.99054,0.99478,0.98974,0.25862,0.52586,0.49157,0.000555243,0.000555243,0.000555243
2,555.579,0.31482,0.51188,0.95414,0.9913,0.99704,0.99492,0.97884,0.33524,0.46167,0.67802,0.00108891,0.00108891,0.00108891
3,996.368,0.28599,0.42136,0.93981,0.99377,0.99423,0.99481,0.97712,0.232,0.38234,0.79959,0.00160058,0.00160058,0.00160058
4,1450.79,0.2545,0.38708,0.93197,0.98453,0.98294,0.99337,0.99159,0.16137,0.34034,0.9208,0.00156798,0.00156798,0.00156798
5,1898.13,0.22059,0.34631,0.92239,0.99348,0.99594,0.99493,0.99491,0.11161,0.26115,0.91206,0.00153497,0.00153497,0.00153497
6,2358.63,0.20444,0.31381,0.91573,0.99064,0.98333,0.99405,0.99312,0.13209,0.27633,0.93657,0.00150197,0.00150197,0.00150197
7,2836.02,0.20033,0.29726,0.91679,0.99664,0.99997,0.995,0.99416,0.12243,0.16435,0.92583,0.00146896,0.00146896,0.00146896
8,3302.21,0.17787,0.28366,0.90244,0.98986,0.99509,0.9948,0.99208,0.14141,0.23592,0.93229,0.00143595,0.00143595,0.00143595
9,3787.68,0.18163,0.28305,0.90672,0.71233,0.94367,0.88225,0.8803,0.11552,0.57925,0.91893,0.00140295,0.00140295,0.00140295
10,4289.57,0.1721,0.26663,0.90439,0.94776,0.97419,0.98643,0.98639,0.10429,0.21851,0.91531,0.00136994,0.00136994,0.00136994
11,4836.63,0.16376,0.25864,0.90335,0.96777,0.98817,0.99353,0.98226,0.12635,0.37477,0.936,0.00133693,0.00133693,0.00133693
12,5468.45,0.15394,0.24694,0.89814,0.93407,0.98154,0.98999,0.98784,0.08556,0.2329,0.91035,0.00130393,0.00130393,0.00130393
13,6078.39,0.15187,0.24552,0.89851,0.99729,0.99974,0.995,0.99498,0.08719,0.1427,0.91185,0.00127092,0.00127092,0.00127092
14,6658.76,0.1504,0.24829,0.89713,0.99931,1,0.995,0.99494,0.09502,0.19088,0.91492,0.00123791,0.00123791,0.00123791
15,7177.39,0.13757,0.23835,0.8951,0.99588,0.99873,0.995,0.99494,0.09349,0.20467,0.9163,0.00120491,0.00120491,0.00120491
16,7664.96,0.13529,0.22577,0.89016,0.99739,0.9986,0.99479,0.99453,0.07245,0.13893,0.90769,0.0011719,0.0011719,0.0011719
17,8154.63,0.13502,0.22844,0.88823,0.98375,0.98387,0.99352,0.9926,0.07629,0.21633,0.90683,0.00113889,0.00113889,0.00113889
18,8619.74,0.12897,0.22214,0.89006,0.99329,1,0.99499,0.99498,0.07379,0.14916,0.90334,0.00110589,0.00110589,0.00110589
19,9126.01,0.12372,0.21802,0.89049,0.96579,0.9902,0.99175,0.98589,0.08547,0.22133,0.9153,0.00107288,0.00107288,0.00107288
20,9624.8,0.12159,0.21451,0.88703,0.93868,0.96785,0.98836,0.97917,0.13164,0.4051,0.92438,0.00103987,0.00103987,0.00103987
21,10113.2,0.12141,0.20806,0.89016,0.99902,0.99908,0.99499,0.99496,0.07376,0.13301,0.90296,0.00100687,0.00100687,0.00100687
22,10592.1,0.12188,0.21104,0.88601,0.99716,0.99844,0.99498,0.9944,0.07972,0.16286,0.92393,0.000973861,0.000973861,0.000973861
23,11079.3,0.11851,0.20537,0.891,0.9928,0.99216,0.995,0.99499,0.07825,0.15152,0.90689,0.000940855,0.000940855,0.000940855
24,11570.6,0.11607,0.20271,0.8875,0.95477,0.99315,0.99402,0.99395,0.11625,0.29977,0.96837,0.000907848,0.000907848,0.000907848
25,12060,0.11216,0.19625,0.88881,0.98378,0.99859,0.99486,0.99484,0.06254,0.12988,0.90232,0.000874842,0.000874842,0.000874842
26,12537.8,0.10531,0.19641,0.88457,0.99951,0.99975,0.995,0.99493,0.05823,0.08809,0.89931,0.000841835,0.000841835,0.000841835
27,13013.6,0.10507,0.1957,0.88325,0.97062,0.99457,0.99392,0.99384,0.0727,0.29614,0.91938,0.000808828,0.000808828,0.000808828
28,13499.5,0.10336,0.19318,0.88507,0.9917,0.98701,0.99443,0.99436,0.05454,0.20755,0.90037,0.000775822,0.000775822,0.000775822
29,14001.2,0.10327,0.19369,0.88332,0.96561,0.9813,0.99247,0.99019,0.0636,0.26396,0.90855,0.000742815,0.000742815,0.000742815
30,14478.6,0.10109,0.1916,0.88478,0.99985,1,0.995,0.995,0.05743,0.09333,0.90043,0.000709809,0.000709809,0.000709809
31,14962.1,0.09671,0.18097,0.88226,0.99856,1,0.995,0.995,0.05503,0.11142,0.89865,0.000676802,0.000676802,0.000676802
32,15458.3,0.09402,0.17956,0.88297,0.99758,1,0.995,0.995,0.0477,0.12124,0.89896,0.000643795,0.000643795,0.000643795
33,15941.9,0.09011,0.1737,0.87966,0.99558,0.99713,0.99497,0.99471,0.05622,0.15849,0.90151,0.000610789,0.000610789,0.000610789
34,16433.4,0.08933,0.177,0.88237,0.99569,1,0.995,0.995,0.04709,0.13259,0.89936,0.000577782,0.000577782,0.000577782
35,16926.1,0.08931,0.17026,0.87946,0.99843,0.99766,0.995,0.99499,0.0476,0.11466,0.90145,0.000544776,0.000544776,0.000544776
36,17408.9,0.0869,0.17292,0.87883,0.99954,0.99922,0.995,0.995,0.03906,0.08189,0.89466,0.000511769,0.000511769,0.000511769
37,17932.8,0.08514,0.165,0.87568,0.99257,0.98876,0.99475,0.9947,0.04518,0.18758,0.89695,0.000478762,0.000478762,0.000478762
38,18440.9,0.08368,0.164,0.87965,0.95739,0.98855,0.98952,0.98749,0.05546,0.27181,0.89923,0.000445756,0.000445756,0.000445756
39,18911.8,0.0819,0.16473,0.87963,0.97792,0.99034,0.99358,0.99353,0.04594,0.22187,0.89803,0.000412749,0.000412749,0.000412749
40,19400.3,0.08075,0.15931,0.87739,0.99303,0.99794,0.99495,0.99495,0.04275,0.11916,0.8937,0.000379743,0.000379743,0.000379743
41,19896.9,0.05795,0.09678,0.85493,0.99819,0.99845,0.99499,0.99499,0.06937,0.16684,0.93539,0.000346736,0.000346736,0.000346736
42,20380.9,0.05101,0.06824,0.85072,0.99969,0.99983,0.995,0.98557,0.06715,0.14957,0.93476,0.000313729,0.000313729,0.000313729
43,20864.6,0.0473,0.0623,0.84821,0.99989,1,0.995,0.99361,0.07548,0.20366,0.94925,0.000280723,0.000280723,0.000280723
44,21348.9,0.04369,0.05865,0.84771,0.99963,0.9993,0.995,0.995,0.06579,0.19584,0.95155,0.000247716,0.000247716,0.000247716
45,21812.9,0.04227,0.05484,0.8496,0.99988,1,0.995,0.995,0.03856,0.13056,0.90373,0.00021471,0.00021471,0.00021471
46,22270.6,0.03918,0.05105,0.85032,0.99987,1,0.995,0.995,0.03173,0.10813,0.89272,0.000181703,0.000181703,0.000181703
47,22749.1,0.03673,0.04639,0.8505,0.99987,1,0.995,0.995,0.02608,0.07633,0.89211,0.000148696,0.000148696,0.000148696
48,23229.2,0.03518,0.04367,0.85411,0.99984,1,0.995,0.995,0.03368,0.11433,0.89737,0.00011569,0.00011569,0.00011569
49,23710.7,0.03555,0.04467,0.8508,0.99812,1,0.995,0.99488,0.04152,0.19913,0.91295,8.26832e-05,8.26832e-05,8.26832e-05
50,24177.1,0.03286,0.0428,0.84365,0.99989,1,0.995,0.99261,0.05358,0.22198,0.93449,4.96766e-05,4.96766e-05,4.96766e-05
